"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"33",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",0,0,0,1,0,0,0
"34",15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,1,0,0,0
"35",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",0,0,0,1,0,0,0
"36",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",0,0,0,1,0,0,0
"37",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"38",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"39",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"40",30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,1,0,0,0
"41",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"42",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,1,0,0,0
"43",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,0,0,1,0,0,0
"44",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,0,0,1,0,0,0
"45",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,0,1,0,0,0
"46",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,1,0,0,0
"47",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"48",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"49",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"50",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",0,0,0,1,0,0,0
"51",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"52",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,1,0,0,0
"53",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",0,0,0,1,0,0,0
"54",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",0,0,0,1,0,0,0
"55",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",0,0,0,1,0,0,0
"56",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",0,0,0,1,0,0,0
"57",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",0,0,0,1,0,0,0
"58",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,0,0,1,0,0,0
"59",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",0,0,0,1,0,0,0
"60",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"61",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"62",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"63",64,"LF64: Mortality or fitness reduction due to increases in salinity",0,0,0,1,0,0,0
"64",65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,1,0,0,0
"65",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,0,1,0,0,0
"66",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,0,0,1,0,0,0
"67",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,0,0,1,0,0,0
"68",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,1,0,0,0
