"","X","LF_Number","LF_Name","HPDG_total_count","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","X_Future","HPDG_total_count_Future","VH_total_count_Future","H_total_count_Future","M_total_count_Future","L_total_count_Future","VL_total_count_Future","LPDG_total_count_Future"
"NAHMINT RIVER.19",19,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"NAHMINT RIVER.20",20,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"NAHMINT RIVER.21",21,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"NAHMINT RIVER.22",22,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"NAHMINT RIVER.23",23,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"NAHMINT RIVER.24",24,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",1,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"NAHMINT RIVER.25",25,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,25,1,0,0,0,0,0,0
"NAHMINT RIVER.26",26,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,26,1,0,0,0,0,0,0
"NAHMINT RIVER.27",27,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"NAHMINT RIVER.28",28,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,28,1,0,0,0,0,0,0
"NAHMINT RIVER.29",29,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,29,1,0,0,0,0,0,0
"NAHMINT RIVER.30",30,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",0,1,0,0,0,0,0,31,0,1,0,0,0,0,0
"NAHMINT RIVER.31",31,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,1,0,0,0,0,0,32,0,1,0,0,0,0,0
"NAHMINT RIVER.32",32,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,1,0,0,0,0,0,33,0,1,0,0,0,0,0
"NAHMINT RIVER.33",33,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,1,0,0,0,0,0,34,0,1,0,0,0,0,0
"NAHMINT RIVER.34",34,2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,1,0,0,41,0,0,0,0,1,0,0
"NAHMINT RIVER.35",35,5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,1,0,0,42,0,0,0,0,1,0,0
"NAHMINT RIVER.36",36,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"NAHMINT RIVER.37",37,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,0,0,1,0,43,0,0,0,0,1,0,0
"NAHMINT RIVER.38",38,20,"LF20: Mortality or fitness reduction due to redd overspawn",0,0,0,0,0,1,0,47,0,0,0,0,0,1,0
"NAHMINT RIVER.39",39,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0,44,0,0,0,0,1,0,0
"NAHMINT RIVER.40",40,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,48,0,0,0,0,0,1,0
"NAHMINT RIVER.41",41,34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0,49,0,0,0,0,0,1,0
"NAHMINT RIVER.42",42,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,0,0,0,1,0,45,0,0,0,0,1,0,0
"NAHMINT RIVER.43",43,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,0,0,0,1,0,46,0,0,0,0,1,0,0
"NAHMINT RIVER.44",44,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,1,50,0,0,0,0,0,0,1
"NAHMINT RIVER.45",45,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,0,0,0,1,51,0,0,0,0,0,0,1
"NAHMINT RIVER.46",46,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1,52,0,0,0,0,0,0,1
"NAHMINT RIVER.47",47,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1,53,0,0,0,0,0,0,1
"NAHMINT RIVER.48",48,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",0,0,0,0,0,0,1,54,0,0,0,0,0,0,1
"NAHMINT RIVER.49",49,15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,55,0,0,0,0,0,0,1
"NAHMINT RIVER.50",50,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,0,1,56,0,0,0,0,0,0,1
"NAHMINT RIVER.51",51,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,0,0,1,57,0,0,0,0,0,0,1
"NAHMINT RIVER.52",52,18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,0,1,58,0,0,0,0,0,0,1
"NAHMINT RIVER.53",53,29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,59,0,0,0,0,0,0,1
"NAHMINT RIVER.54",54,30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,0,0,1,60,0,0,0,0,0,0,1
"NAHMINT RIVER.55",55,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1,61,0,0,0,0,0,0,1
"NAHMINT RIVER.56",56,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,0,0,0,1,62,0,0,0,0,0,0,1
"NAHMINT RIVER.57",57,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1,63,0,0,0,0,0,0,1
"NAHMINT RIVER.58",58,47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,0,1,64,0,0,0,0,0,0,1
"NAHMINT RIVER.59",59,48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,0,1,65,0,0,0,0,0,0,1
"NAHMINT RIVER.60",60,65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,66,0,0,0,0,0,0,1
"NAHMINT RIVER.61",61,66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1,67,0,0,0,0,0,0,1
"NAHMINT RIVER.62",62,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,1,0,0,0,35,0,0,1,0,0,0,0
"NAHMINT RIVER.63",63,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,1,0,0,0,30,0,1,0,0,0,0,0
"NAHMINT RIVER.64",64,9,"LF9: Mortality or fitness reduction due to fishing",0,0,0,1,0,0,0,36,0,0,1,0,0,0,0
"NAHMINT RIVER.65",65,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0,37,0,0,1,0,0,0,0
"NAHMINT RIVER.66",66,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,0,0,1,0,0,0,38,0,0,1,0,0,0,0
"NAHMINT RIVER.67",67,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,0,0,1,0,0,0,39,0,0,1,0,0,0,0
"NAHMINT RIVER.68",68,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,1,0,0,0,40,0,0,1,0,0,0,0
"TOQUART RIVER.1",1,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"TOQUART RIVER.2",2,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"TOQUART RIVER.3",3,19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"TOQUART RIVER.4",4,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"TOQUART RIVER.5",5,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"TOQUART RIVER.6",6,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"TOQUART RIVER.7",7,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"TOQUART RIVER.8",8,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"TOQUART RIVER.9",9,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"TOQUART RIVER.10",10,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"TOQUART RIVER.11",11,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"TOQUART RIVER.12",12,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"TOQUART RIVER.13",13,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"TOQUART RIVER.14",14,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"TOQUART RIVER.15",15,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"TOQUART RIVER.16",16,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"TOQUART RIVER.17",17,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"TOQUART RIVER.18",18,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
"TOQUART RIVER.19",19,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"TOQUART RIVER.20",20,57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"TOQUART RIVER.21",21,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"TOQUART RIVER.22",22,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"TOQUART RIVER.23",23,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"TOQUART RIVER.24",24,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"TOQUART RIVER.25",25,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,25,1,0,0,0,0,0,0
"TOQUART RIVER.26",26,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,26,1,0,0,0,0,0,0
"TOQUART RIVER.27",27,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"TOQUART RIVER.28",28,9,"LF9: Mortality or fitness reduction due to fishing",0,1,0,0,0,0,0,30,0,1,0,0,0,0,0
"TOQUART RIVER.29",29,68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,1,0,0,0,0,0,32,0,1,0,0,0,0,0
"TOQUART RIVER.30",30,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,1,0,0,0,0,0,33,0,1,0,0,0,0,0
"TOQUART RIVER.31",31,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,1,0,0,0,0,31,0,1,0,0,0,0,0
"TOQUART RIVER.32",32,1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,1,0,0,40,0,0,0,0,0,1,0
"TOQUART RIVER.33",33,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"TOQUART RIVER.34",34,3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,0,1,0,67,0,0,0,1,0,0,0
"TOQUART RIVER.35",35,17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,0,1,0,41,0,0,0,0,0,1,0
"TOQUART RIVER.36",36,20,"LF20: Mortality or fitness reduction due to redd overspawn",0,0,0,0,0,1,0,42,0,0,0,0,0,1,0
"TOQUART RIVER.37",37,21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0,43,0,0,0,0,0,1,0
"TOQUART RIVER.38",38,32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0,44,0,0,0,0,0,1,0
"TOQUART RIVER.39",39,34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0,45,0,0,0,0,0,1,0
"TOQUART RIVER.40",40,39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,0,0,0,1,0,39,0,0,0,0,1,0,0
"TOQUART RIVER.41",41,2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,0,0,1,46,0,0,0,0,0,0,1
"TOQUART RIVER.42",42,4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,1,47,0,0,0,0,0,0,1
"TOQUART RIVER.43",43,5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,0,1,48,0,0,0,0,0,0,1
"TOQUART RIVER.44",44,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1,49,0,0,0,0,0,0,1
"TOQUART RIVER.45",45,13,"LF13: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1,50,0,0,0,0,0,0,1
"TOQUART RIVER.46",46,14,"LF14: Mortality or fitness reduction as a result of changes to salinity",0,0,0,0,0,0,1,51,0,0,0,0,0,0,1
"TOQUART RIVER.47",47,15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,52,0,0,0,0,0,0,1
"TOQUART RIVER.48",48,16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,0,1,53,0,0,0,0,0,0,1
"TOQUART RIVER.49",49,18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,0,1,54,0,0,0,0,0,0,1
"TOQUART RIVER.50",50,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1,55,0,0,0,0,0,0,1
"TOQUART RIVER.51",51,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1,56,0,0,0,0,0,0,1
"TOQUART RIVER.52",52,29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,57,0,0,0,0,0,0,1
"TOQUART RIVER.53",53,30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,0,0,1,58,0,0,0,0,0,0,1
"TOQUART RIVER.54",54,31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1,59,0,0,0,0,0,0,1
"TOQUART RIVER.55",55,40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,0,0,0,1,60,0,0,0,0,0,0,1
"TOQUART RIVER.56",56,46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1,61,0,0,0,0,0,0,1
"TOQUART RIVER.57",57,47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,0,1,62,0,0,0,0,0,0,1
"TOQUART RIVER.58",58,48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,0,1,63,0,0,0,0,0,0,1
"TOQUART RIVER.59",59,65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1,64,0,0,0,0,0,0,1
"TOQUART RIVER.60",60,66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1,65,0,0,0,0,0,0,1
"TOQUART RIVER.61",61,67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,0,0,0,0,1,66,0,0,0,0,0,0,1
"TOQUART RIVER.62",62,6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",0,0,0,1,0,0,0,34,0,0,1,0,0,0,0
"TOQUART RIVER.63",63,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,1,0,0,0,28,0,1,0,0,0,0,0
"TOQUART RIVER.64",64,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,1,0,0,0,29,0,1,0,0,0,0,0
"TOQUART RIVER.65",65,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",0,0,0,1,0,0,0,35,0,0,1,0,0,0,0
"TOQUART RIVER.66",66,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,0,0,1,0,0,0,36,0,0,1,0,0,0,0
"TOQUART RIVER.67",67,37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,0,0,1,0,0,0,37,0,0,1,0,0,0,0
"TOQUART RIVER.68",68,50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,1,0,0,0,38,0,0,1,0,0,0,0
"SOMASS RIVER.1",1,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SOMASS RIVER.2",2,20,"LF20: Mortality or fitness reduction due to redd overspawn",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"SOMASS RIVER.3",3,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"SOMASS RIVER.4",4,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"SOMASS RIVER.5",5,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"SOMASS RIVER.6",6,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"SOMASS RIVER.7",7,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"SOMASS RIVER.8",8,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"SOMASS RIVER.9",9,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"SOMASS RIVER.10",10,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"SOMASS RIVER.11",11,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"SOMASS RIVER.12",12,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"SOMASS RIVER.13",13,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"SOMASS RIVER.14",14,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"SOMASS RIVER.15",15,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"SOMASS RIVER.16",16,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"SOMASS RIVER.17",17,54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"SOMASS RIVER.18",18,55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
"SOMASS RIVER.19",19,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,0,0,19,1,0,0,0,0,0,0
"SOMASS RIVER.20",20,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,0,0,0,0,20,1,0,0,0,0,0,0
"SOMASS RIVER.21",21,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",1,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"SOMASS RIVER.22",22,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,22,1,0,0,0,0,0,0
"SOMASS RIVER.23",23,64,"LF64: Mortality or fitness reduction due to increases in salinity",1,0,0,0,0,0,0,23,1,0,0,0,0,0,0
"SOMASS RIVER.24",24,36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,1,0,0,0,0,0,25,0,1,0,0,0,0,0
"SOMASS RIVER.25",25,59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,1,0,0,0,0,0,26,0,1,0,0,0,0,0
"SOMASS RIVER.26",26,69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,1,0,0,0,0,0,28,0,1,0,0,0,0,0
"SOMASS RIVER.27",27,11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,1,0,0,0,0,24,0,1,0,0,0,0,0
"SOMASS RIVER.28",28,38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,0,1,0,0,0,0,31,0,0,1,0,0,0,0
"SOMASS RIVER.29",29,7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,0,1,0,0,62,0,0,0,1,0,0,0
"SOMASS RIVER.30",30,8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,0,1,0,0,63,0,0,0,1,0,0,0
"SOMASS RIVER.31",31,12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,1,0,0,64,0,0,0,1,0,0,0
"SOMASS RIVER.32",32,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",0,0,0,0,1,0,0,37,0,0,0,0,1,0,0
"SOMASS RIVER.33",33,30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,1,0,0,38,0,0,0,0,1,0,0
"SOMASS RIVER.34",34,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,1,0,0,65,0,0,0,1,0,0,0
"SOMASS RIVER.35",35,65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,1,0,0,68,0,0,0,1,0,0,0
"SOMASS RIVER.36",36,70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,0,1,0,0,39,0,0,0,0,1,0,0
