W,LF_Name,LF,CI,CL,CV,FV,CR,FR,TR
Nahmint,LF24: Mortality of eggs due to lack of groundwater upwelling on lakeshore,24,0,0,0,0,0,0,0
Nahmint,LF25: Mortality or fitness reduction due to lower quality spawning gravel,25,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF26: Mortality or fitness reduction due to unfavourable water temperatures,26,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF27: Mortality or fitness reduction as a result of low dissolved oxygen,27,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF28: Mortality or fitness reduction as a result of poor pH levels,28,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF29: Mortality or fitness reduction due to deleterious substances,29,0,0,0,0,0,0,0
Nahmint,LF30: Mortality or fitness reduction as a result of elevated predation,30,0,0,0,0,0,0,0
Nahmint,LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species,31,0,0,0,0,0,0,0
Nahmint,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,32,1,1,1,31,1,1,1
Nahmint,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",33,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF34: Mortality or fitness reduction due to competition from invasive species ,34,1,1,1,31,1,1,1
Nahmint,LF35: Mortality or fitness reduction as a result of lack of access to appropriate food,35,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,36,4,3,12,43,3,4,12
Nahmint,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,37,4,3,12,43,3,4,12
Nahmint,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,38,1,1,1,41,1,2,2
Nahmint,LF39: Mortality or fitness reduction from stranding in rearing habitat,39,1,1,1,41,1,2,2
Nahmint,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,40,0,0,0,0,0,0,0
Nahmint,LF41: Mortality or fitness reduction as a result of competition with hatchery fry,41,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF42: Mortality or fitness reduction due to unfavourable water temperatures,42,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF43: Mortality or fitness reduction as a result of low dissolved oxygen,43,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF44: Mortality or fitness reduction as a result of poor pH levels,44,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF45: Mortality or fitness reduction as a result of deleterious substances,45,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments,46,0,0,0,0,0,0,0
Nahmint,LF47: Mortality or fitness reduction due to elevated predation,47,0,0,0,0,0,0,0
Nahmint,LF48: Mortality or fitness reduction due to predation by invasive species,48,0,0,0,0,0,0,0
Nahmint,LF49: Mortality or fitness reduction due to inter- and intra-specific competition,49,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,50,3,3,9,43,3,4,12
Nahmint,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",51,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF52: Mortality or fitness reduction as a result of lack of access to appropriate food,52,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms,53,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF54: Mortality or fitness reduction due to reduction in quality of beach habitat,54,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss ,55,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF56: Mortality or fitness reduction due to reduction in quality channel habitat,56,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF57: Mortality or fitness reduction due to reduction in quantity channel habitat ,57,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat ,58,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat ,59,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF60: Mortality or fitness reduction due to competition with hatchery fish,60,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF61: Mortality or fitness reduction due to unfavourable water temperatures,61,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF62: Mortality or fitness reduction as a result of low dissolved oxygen,62,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF63: Mortality or fitness reduction as a result of poor pH levels,63,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF64: Mortality or fitness reduction due to increases in salinity,64,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF65: Mortality or fitness reduction due to deleterious substances,65,0,0,0,0,0,0,0
Nahmint,LF66: Mortality or fitness reduction due to ingestion of microplastics ,66,0,0,0,0,0,0,0
Nahmint,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",67,5,5,25,55,5,5,25
Nahmint,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",68,4,5,20,55,5,5,25
Nahmint,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,69,4,5,20,55,5,5,25
Nahmint,LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow,70,2,2,4,42,2,2,4
Toquaht,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,1,2,2,4,22,2,1,2
Toquaht,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,2,0,0,0,0,0,0,0
Toquaht,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),3,1,3,3,51,1,2,2
Toquaht,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0,0,0,0,0,0,0
Toquaht,LF5: Mortality or fitness reduction due to competition with invasive species,5,0,0,0,0,0,0,0
Toquaht,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),6,4,2,8,43,3,4,12
Toquaht,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,7,3,3,9,53,3,5,15
Toquaht,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,8,3,3,9,53,3,5,15
Toquaht,LF9: Mortality or fitness reduction due to fishing,9,4,5,20,45,5,5,25
Toquaht,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates ,10,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF11: Mortality or fitness reduction due to unfavourable water temperatures,11,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF12: Mortality or fitness reduction as a result of low dissolved oxygen,12,0,0,0,0,0,0,0
Toquaht,LF13: Mortality or fitness reduction as a result of poor pH levels,13,0,0,0,0,0,0,0
Toquaht,LF14: Mortality or fitness reduction as a result of changes to salinity,14,0,0,0,0,0,0,0
Toquaht,LF15: Mortality or fitness reduction due to deleterious substances,15,0,0,0,0,0,0,0
Toquaht,LF16: Mortality due to elevated levels of predation of eggs and alevin ,16,0,0,0,0,0,0,0
Toquaht,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,17,1,1,1,31,1,1,1
Toquaht,LF18: Mortality due to redd disturbance by humans,18,0,0,0,0,0,0,0
Toquaht,LF19: Mortality or fitness reduction due to early alevin emergence,19,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF20: Mortality or fitness reduction due to redd overspawn,20,1,1,1,31,1,1,1
Toquaht,LF21: Mortality or fitness reduction due to dewatered redds at low flows,21,1,1,1,31,1,1,1
Toquaht,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,22,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF23: Mortality of eggs during incubation due to variable lake water levels,23,0,0,0,0,0,0,0
Toquaht,LF24: Mortality of eggs due to lack of groundwater upwelling on lakeshore,24,0,0,0,0,0,0,0
Toquaht,LF25: Mortality or fitness reduction due to lower quality spawning gravel,25,5,2,10,43,3,4,12
Toquaht,LF26: Mortality or fitness reduction due to unfavourable water temperatures,26,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF27: Mortality or fitness reduction as a result of low dissolved oxygen,27,0,0,0,0,0,0,0
Toquaht,LF28: Mortality or fitness reduction as a result of poor pH levels,28,0,0,0,0,0,0,0
Toquaht,LF29: Mortality or fitness reduction due to deleterious substances,29,0,0,0,0,0,0,0
Toquaht,LF30: Mortality or fitness reduction as a result of elevated predation,30,0,0,0,0,0,0,0
Toquaht,LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species,31,0,0,0,0,0,0,0
Toquaht,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,32,1,1,1,31,1,1,1
Toquaht,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",33,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF34: Mortality or fitness reduction due to competition from invasive species ,34,1,1,1,31,1,1,1
Toquaht,LF35: Mortality or fitness reduction as a result of lack of access to appropriate food,35,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,36,3,3,9,43,3,4,12
Toquaht,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,37,3,3,9,43,3,4,12
Toquaht,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,38,4,4,16,44,4,5,20
Toquaht,LF39: Mortality or fitness reduction from stranding in rearing habitat,39,1,1,1,41,1,2,2
Toquaht,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,40,0,0,0,0,0,0,0
Toquaht,LF41: Mortality or fitness reduction as a result of competition with hatchery fry,41,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF42: Mortality or fitness reduction due to unfavourable water temperatures,42,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF43: Mortality or fitness reduction as a result of low dissolved oxygen,43,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF44: Mortality or fitness reduction as a result of poor pH levels,44,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF45: Mortality or fitness reduction as a result of deleterious substances,45,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments,46,0,0,0,0,0,0,0
Toquaht,LF47: Mortality or fitness reduction due to elevated predation,47,0,0,0,0,0,0,0
Toquaht,LF48: Mortality or fitness reduction due to predation by invasive species,48,0,0,0,0,0,0,0
Toquaht,LF49: Mortality or fitness reduction due to inter- and intra-specific competition,49,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,50,3,3,9,43,3,4,12
Toquaht,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",51,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF52: Mortality or fitness reduction as a result of lack of access to appropriate food,52,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms,53,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF54: Mortality or fitness reduction due to reduction in quality of beach habitat,54,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss ,55,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF56: Mortality or fitness reduction due to reduction in quality channel habitat,56,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF57: Mortality or fitness reduction due to reduction in quantity channel habitat ,57,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat ,58,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat ,59,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF60: Mortality or fitness reduction due to competition with hatchery fish,60,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF61: Mortality or fitness reduction due to unfavourable water temperatures,61,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF62: Mortality or fitness reduction as a result of low dissolved oxygen,62,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF63: Mortality or fitness reduction as a result of poor pH levels,63,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF64: Mortality or fitness reduction due to increases in salinity,64,-1,1,-1,-1-1,-1,-1,1
Toquaht,LF65: Mortality or fitness reduction due to deleterious substances,65,0,0,0,0,0,0,0
Toquaht,LF66: Mortality or fitness reduction due to ingestion of microplastics ,66,0,0,0,0,0,0,0
Toquaht,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",67,0,0,0,0,0,0,0
Toquaht,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",68,4,5,20,35,5,5,25
Toquaht,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,69,4,5,20,35,5,5,25
Toquaht,LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow,70,2,2,4,42,2,2,4
Somass,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,1,0,0,0,0,0,0,0
Somass,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,2,0,0,0,0,0,0,0
Somass,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),3,1,2,2,31,1,1,1
Somass,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0,0,0,0,0,0,0
Somass,LF5: Mortality or fitness reduction due to competition with invasive species,5,0,0,0,0,0,0,0
Somass,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),6,0,0,0,0,0,0,0
Somass,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,7,2,3,6,42,2,2,4
Somass,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,8,4,1,4,42,2,2,4
Somass,LF9: Mortality or fitness reduction due to fishing,9,2,5,10,43,3,4,12
Somass,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates ,10,-1,1,-1,-1-1,-1,-1,1
Somass,LF11: Mortality or fitness reduction due to unfavourable water temperatures,11,4,4,16,44,4,5,20
Somass,LF12: Mortality or fitness reduction as a result of low dissolved oxygen,12,3,2,6,42,2,2,4
Somass,LF13: Mortality or fitness reduction as a result of poor pH levels,13,0,0,0,0,0,0,0
Somass,LF14: Mortality or fitness reduction as a result of changes to salinity,14,0,0,0,0,0,0,0
Somass,LF15: Mortality or fitness reduction due to deleterious substances,15,1,1,1,31,1,1,1
Somass,LF16: Mortality due to elevated levels of predation of eggs and alevin ,16,0,0,0,0,0,0,0
Somass,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,17,0,0,0,0,0,0,0
Somass,LF18: Mortality due to redd disturbance by humans,18,0,0,0,0,0,0,0
Somass,LF19: Mortality or fitness reduction due to early alevin emergence,19,1,1,1,41,1,2,2
Somass,LF20: Mortality or fitness reduction due to redd overspawn,20,-1,1,-1,-1-1,-1,-1,1
Somass,LF21: Mortality or fitness reduction due to dewatered redds at low flows,21,0,0,0,0,0,0,0
Somass,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,22,-1,1,-1,-2,-1,#N/A,#N/A
Somass,LF23: Mortality of eggs during incubation due to variable lake water levels,23,0,0,0,0,0,0,0
Somass,LF24: Mortality of eggs due to lack of groundwater upwelling on lakeshore,24,0,0,0,0,0,0,0
Somass,LF25: Mortality or fitness reduction due to lower quality spawning gravel,25,2,2,4,32,2,1,2
Somass,LF26: Mortality or fitness reduction due to unfavourable water temperatures,26,-1,1,-1,-1-1,-1,-1,1
Somass,LF27: Mortality or fitness reduction as a result of low dissolved oxygen,27,-1,1,-1,-1-1,-1,-1,1
Somass,LF28: Mortality or fitness reduction as a result of poor pH levels,28,-1,1,-1,-1-1,-1,-1,1
Somass,LF29: Mortality or fitness reduction due to deleterious substances,29,0,0,0,0,0,0,0
Somass,LF30: Mortality or fitness reduction as a result of elevated predation,30,2,2,4,32,2,1,2
Somass,LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species,31,0,0,0,0,0,0,0
Somass,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,32,1,1,1,31,1,1,1
Somass,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",33,2,2,4,42,2,2,4
Somass,LF34: Mortality or fitness reduction due to competition from invasive species ,34,2,5,10,43,3,4,12
Somass,LF35: Mortality or fitness reduction as a result of lack of access to appropriate food,35,-1,1,-1,-1-1,-1,-1,1
Somass,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,36,5,4,20,35,5,5,25
Somass,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,37,3,4,12,33,3,3,9
Somass,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,38,3,5,15,34,4,4,16
Somass,LF39: Mortality or fitness reduction from stranding in rearing habitat,39,4,3,12,33,3,3,9
Somass,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,40,1,1,1,31,1,1,1
Somass,LF41: Mortality or fitness reduction as a result of competition with hatchery fry,41,-1,1,-1,-1-1,-1,-1,1
Somass,LF42: Mortality or fitness reduction due to unfavourable water temperatures,42,-1,1,-1,-1-1,-1,-1,1
Somass,LF43: Mortality or fitness reduction as a result of low dissolved oxygen,43,-1,1,-1,-1-1,-1,-1,1
Somass,LF44: Mortality or fitness reduction as a result of poor pH levels,44,-1,1,-1,-1-1,-1,-1,1
Somass,LF45: Mortality or fitness reduction as a result of deleterious substances,45,-1,1,-1,-1-1,-1,-1,1
Somass,LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments,46,0,0,0,0,0,0,0
Somass,LF47: Mortality or fitness reduction due to elevated predation,47,0,0,0,0,0,0,0
Somass,LF48: Mortality or fitness reduction due to predation by invasive species,48,0,0,0,0,0,0,0
Somass,LF49: Mortality or fitness reduction due to inter- and intra-specific competition,49,-1,1,-1,-1-1,-1,-1,1
Somass,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,50,2,5,10,43,3,4,12
Somass,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",51,-1,1,-1,-1-1,-1,-1,1
Somass,LF52: Mortality or fitness reduction as a result of lack of access to appropriate food,52,-1,1,-1,-1-1,-1,-1,1
Somass,LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms,53,-1,1,-1,-1-1,-1,-1,1
Somass,LF54: Mortality or fitness reduction due to reduction in quality of beach habitat,54,-1,1,-1,-1-1,-1,-1,1
Somass,LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss ,55,-1,1,-1,-1-1,-1,-1,1
Somass,LF56: Mortality or fitness reduction due to reduction in quality channel habitat,56,-1,1,-1,-1-1,-1,-1,1
Somass,LF57: Mortality or fitness reduction due to reduction in quantity channel habitat ,57,2,5,10,43,3,4,12
Somass,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat ,58,-1,1,-1,-1-1,-1,-1,1
Somass,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat ,59,4,5,20,45,5,5,25
Somass,LF60: Mortality or fitness reduction due to competition with hatchery fish,60,-1,1,-1,-1-1,-1,-1,1
Somass,LF61: Mortality or fitness reduction due to unfavourable water temperatures,61,4,3,12,53,3,5,15
Somass,LF62: Mortality or fitness reduction as a result of low dissolved oxygen,62,3,3,9,43,3,4,12
Somass,LF63: Mortality or fitness reduction as a result of poor pH levels,63,-1,1,-1,-1-1,-1,-1,1
Somass,LF64: Mortality or fitness reduction due to increases in salinity,64,-1,1,-1,-1-1,-1,-1,1
Somass,LF65: Mortality or fitness reduction due to deleterious substances,65,2,3,6,42,2,2,4
Somass,LF66: Mortality or fitness reduction due to ingestion of microplastics ,66,0,0,0,0,0,0,0
Somass,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",67,4,3,12,43,3,4,12
Somass,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",68,1,1,1,31,1,1,1
Somass,LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.,69,5,5,25,35,5,5,25
Somass,LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow,70,2,2,4,32,2,1,2
Sarita,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,1,2,4,8,33,3,3,9
Sarita,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,2,-1,1,-1,-1-1,-1,-1,1
Sarita,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),3,1,1,1,31,1,1,1
Sarita,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0,0,0,0,0,0,0
Sarita,LF5: Mortality or fitness reduction due to competition with invasive species,5,0,0,0,0,0,0,0
Sarita,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),6,4,3,12,33,3,3,9
Sarita,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,7,5,5,25,35,5,5,25
Sarita,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,8,1,2,2,31,1,1,1
Sarita,LF9: Mortality or fitness reduction due to fishing,9,1,2,2,31,1,1,1
Sarita,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates ,10,1,1,1,11,1,1,1
Sarita,LF11: Mortality or fitness reduction due to unfavourable water temperatures,11,3,3,9,43,3,4,12
Sarita,LF12: Mortality or fitness reduction as a result of low dissolved oxygen,12,1,1,1,31,1,1,1
Sarita,LF13: Mortality or fitness reduction as a result of poor pH levels,13,0,0,0,0,0,0,0
Sarita,LF14: Mortality or fitness reduction as a result of changes to salinity,14,0,0,0,0,0,0,0
Sarita,LF15: Mortality or fitness reduction due to deleterious substances,15,2,3,6,32,2,1,2
Sarita,LF16: Mortality due to elevated levels of predation of eggs and alevin ,16,3,4,12,33,3,3,9
Sarita,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,17,1,2,2,31,1,1,1
Sarita,LF18: Mortality due to redd disturbance by humans,18,0,0,0,0,0,0,0
Sarita,LF19: Mortality or fitness reduction due to early alevin emergence,19,-1,1,-1,-1-1,-1,-1,1
Sarita,LF20: Mortality or fitness reduction due to redd overspawn,20,2,4,8,33,3,3,9
Sarita,LF21: Mortality or fitness reduction due to dewatered redds at low flows,21,2,2,4,32,2,1,2
Sarita,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,22,3,3,9,33,3,3,9
Sarita,LF23: Mortality of eggs during incubation due to variable lake water levels,23,0,0,0,0,0,0,0
Sarita,LF24: Mortality of eggs due to lack of groundwater upwelling on lakeshore,24,0,0,0,0,0,0,0
Sarita,LF25: Mortality or fitness reduction due to lower quality spawning gravel,25,2,3,6,32,2,1,2
Sarita,LF26: Mortality or fitness reduction due to unfavourable water temperatures,26,-1,1,-1,-1-1,-1,-1,1
Sarita,LF27: Mortality or fitness reduction as a result of low dissolved oxygen,27,-1,1,-1,-1-1,-1,-1,1
Sarita,LF28: Mortality or fitness reduction as a result of poor pH levels,28,-1,1,-1,-1-1,-1,-1,1
Sarita,LF29: Mortality or fitness reduction due to deleterious substances,29,0,0,0,0,0,0,0
Sarita,LF30: Mortality or fitness reduction as a result of elevated predation,30,3,4,12,33,3,3,9
Sarita,LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species,31,0,0,0,0,0,0,0
Sarita,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,32,1,1,1,31,1,1,1
Sarita,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",33,-1,1,-1,-1-1,-1,-1,1
Sarita,LF34: Mortality or fitness reduction due to competition from invasive species ,34,1,1,1,31,1,1,1
Sarita,LF35: Mortality or fitness reduction as a result of lack of access to appropriate food,35,2,3,6,32,2,1,2
Sarita,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,36,4,5,20,35,5,5,25
Sarita,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,37,4,5,20,35,5,5,25
Sarita,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,38,5,5,25,15,5,3,15
Sarita,LF39: Mortality or fitness reduction from stranding in rearing habitat,39,1,2,2,31,1,1,1
Sarita,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,40,0,0,0,0,0,0,0
Sarita,LF41: Mortality or fitness reduction as a result of competition with hatchery fry,41,1,2,2,31,1,1,1
Sarita,LF42: Mortality or fitness reduction due to unfavourable water temperatures,42,-1,1,-1,-1-1,-1,-1,1
Sarita,LF43: Mortality or fitness reduction as a result of low dissolved oxygen,43,-1,1,-1,-1-1,-1,-1,1
Sarita,LF44: Mortality or fitness reduction as a result of poor pH levels,44,-1,1,-1,-1-1,-1,-1,1
