"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"57",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",0,0,0,1,0,0,0
"58",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",0,0,0,1,0,0,0
"59",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",0,0,0,1,0,0,0
"60",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",0,0,0,1,0,0,0
"61",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,0,0,1,0,0,0
"62",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",0,0,0,1,0,0,0
"63",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"64",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"65",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"66",64,"LF64: Mortality or fitness reduction due to increases in salinity",0,0,0,1,0,0,0
"67",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,0,0,1,0,0,0
"68",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,1,0,0,0
