"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"57",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1
"58",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"59",19,"LF19: Mortality or fitness reduction due to early alevin emergence",0,0,0,1,0,0,0
"60",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,1,0,0,0
"61",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",0,0,0,1,0,0,0
"62",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",0,0,0,1,0,0,0
"63",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,1,0,0,0
"64",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,0,1,0,0,0
"65",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"66",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"67",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,0,1,0,0,0
"68",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,0,1,0,0,0
