"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"23",5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,0,1
"24",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"25",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"26",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",0,0,0,0,0,0,1
"27",15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"28",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,0,1
"29",18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,0,1
"30",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"31",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"32",29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"33",30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,0,0,1
"34",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1
"35",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,0,0,0,1
"36",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1
"37",47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,0,1
"38",48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,0,1
"39",65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"40",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1
"41",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",0,0,0,0,0,0,1
"42",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",0,0,0,1,0,0,0
"43",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"44",19,"LF19: Mortality or fitness reduction due to early alevin emergence",0,0,0,1,0,0,0
"45",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",0,0,0,1,0,0,0
"46",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"47",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"48",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,1,0,0,0
"49",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,1,0,0,0
"50",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"51",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"52",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"53",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",0,0,0,1,0,0,0
"54",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",0,0,0,1,0,0,0
"55",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"56",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,1,0,0,0
"57",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,1,0,0,0
"58",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",0,0,0,1,0,0,0
"59",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",0,0,0,1,0,0,0
"60",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",0,0,0,1,0,0,0
"61",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",0,0,0,1,0,0,0
"62",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",0,0,0,1,0,0,0
"63",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,0,0,1,0,0,0
"64",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",0,0,0,1,0,0,0
"65",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,1,0,0,0
"66",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,1,0,0,0
"67",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
"68",64,"LF64: Mortality or fitness reduction due to increases in salinity",0,0,0,1,0,0,0
